"first_category","total_customers","repeat_customers","non_repeat_customers","repeat_purchase_rate"
"home_appliances",689,63,626,9.14
"fashion_bags_accessories",1730,103,1627,5.95
"furniture_decor",6053,276,5777,4.56
"bed_bath_table",8858,399,8459,4.50
"sports_leisure",7364,289,7075,3.92
"garden_tools",3395,103,3292,3.03
"computers_accessories",6435,192,6243,2.98
"pet_shop",1649,49,1600,2.97
"health_beauty",8527,247,8280,2.90
"perfumery",3061,87,2974,2.84
"housewares",5634,158,5476,2.80
"Unknown",1391,39,1352,2.80
"books_general_interest",501,13,488,2.59
"telephony",4093,102,3991,2.49
"toys",3754,93,3661,2.48
"construction_tools_construction",716,17,699,2.37
"baby",2762,63,2699,2.28
"stationery",2241,50,2191,2.23
"watches_gifts",5438,119,5319,2.19
"office_furniture",1238,27,1211,2.18
"auto",3786,81,3705,2.14
"small_appliances",615,13,602,2.11
"luggage_accessories",997,19,978,1.91
"cool_stuff",3543,67,3476,1.89
"musical_instruments",612,11,601,1.80
"electronics",2496,44,2452,1.76
"consoles_games",1039,18,1021,1.73
